,Name,Ratings,Vote Count,Release Year,Watch Time
228,229. The Exorcist,8.1, (481K),1973 2h 2m, 
229,230. The Incredibles,8.0, (862K),2004 1h 55m, 
230,231. The Wizard of Oz,8.1, (453K),1939 1h 42m, 
231,232. Hachi: A Dog's Tale,8.1, (331K),2009 1h 33m, 
232,233. Rush,8.1, (540K),2013 2h 3m, 
233,234. The Passion of Joan of Arc,8.1, (66K),1928 1h 54m, 
234,235. Stand by Me,8.1, (468K),1986 1h 29m, 
235,236. My Father and My Son,8.2, (98K),2005 1h 52m, 
236,237. A Silent Voice: The Movie,8.1, (124K),2016 2h 10m, 
237,238. The Iron Giant,8.1, (248K),1999 1h 26m, 
238,239. Network,8.1, (181K),1976 2h 1m, 
239,240. The Handmaiden,8.1, (191K),2016 2h 25m, 
240,241. The Battle of Algiers,8.1, (72K),1966 2h 1m, 
241,242. The Grapes of Wrath,8.1, (106K),1940 2h 9m, 
242,243. To Be or Not to Be,8.1, (48K),1942 1h 39m, 
243,244. Into the Wild,8.0, (682K),2007 2h 28m, 
244,245. Groundhog Day,8.0, (721K),1993 1h 41m, 
245,246. The Help,8.1, (516K),2011 2h 26m, 
246,247. Gangs of Wasseypur,8.2, (109K),2012 5h 21m, 
247,248. Drishyam,8.2, (102K),2015 2h 43m, 
248,249. Andhadhun,8.2, (110K),2018 2h 19m, 
249,250. Amores Perros,8.0, (269K),2000 2h 34m, 
